,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
3,0,4,RAPSTAR,Polo G,1178694,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg,14,1,18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,0.41,https://api.spotify.com/v1/audio-analysis/18vXApRmJSgQ6wG2ll9AOg,165926,18vXApRmJSgQ6wG2ll9AOg,0.0,6,0.129,-6.862,1,0.242,81.039,4,https://api.spotify.com/v1/tracks/18vXApRmJSgQ6wG2ll9AOg,audio_features,spotify:track:18vXApRmJSgQ6wG2ll9AOg,0.437,['chicago rap']
0,1,1,good 4 u,Olivia Rodrigo,2353218,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,11,2,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,0.335,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4ZtFanR9U6ndgddUvNcjcG,0.0,9,0.0849,-5.044,1,0.154,166.928,4,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,0.688,['pop']
2,2,3,deja vu,Olivia Rodrigo,1254101,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,11,3,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,0.584,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507,6HU7h9RYOaPRFeh0R3UeAr,5.7e-06,2,0.37,-7.222,1,0.112,180.917,4,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,audio_features,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,0.178,['pop']
4,3,5,traitor,Olivia Rodrigo,1170278,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,11,4,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,0.691,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,5CZ40GBx1sQ9agT82CLQCT,0.0,3,0.12,-7.885,1,0.0338,100.607,4,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,audio_features,spotify:track:5CZ40GBx1sQ9agT82CLQCT,0.0849,['pop']
1,4,2,Kiss Me More (feat. SZA),Doja Cat,1329506,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,3,5,748mdHapucXQri7IAO8yFK,0.762,0.701,0.235,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,748mdHapucXQri7IAO8yFK,0.000158,8,0.123,-3.541,1,0.0286,110.968,4,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,audio_features,spotify:track:748mdHapucXQri7IAO8yFK,0.742,"['dance pop', 'pop', 'pop rap']"
5,5,6,Levitating (feat. DaBaby),Dua Lipa,1014159,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,3,6,5nujrmhLynf4yMoMtj8AQF,0.702,0.825,0.00883,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064,5nujrmhLynf4yMoMtj8AQF,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,audio_features,spotify:track:5nujrmhLynf4yMoMtj8AQF,0.915,"['dance pop', 'pop', 'uk pop']"
27,6,28,No Return (with The Kid LAROI & Lil Durk),Polo G,576977,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1,14,7,23OYT3SFtoJqhiAUqktbc1,0.479,0.645,0.135,https://api.spotify.com/v1/audio-analysis/23OYT3SFtoJqhiAUqktbc1,168729,23OYT3SFtoJqhiAUqktbc1,0.0,5,0.0825,-7.336,0,0.302,155.057,4,https://api.spotify.com/v1/tracks/23OYT3SFtoJqhiAUqktbc1,audio_features,spotify:track:23OYT3SFtoJqhiAUqktbc1,0.381,['chicago rap']
32,7,33,GANG GANG (with Lil Wayne),Polo G,529399,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k,14,8,0ezwvY7TkCwDEkKR49084k,0.752,0.563,0.146,https://api.spotify.com/v1/audio-analysis/0ezwvY7TkCwDEkKR49084k,178776,0ezwvY7TkCwDEkKR49084k,0.0,3,0.103,-8.066,0,0.209,145.05,4,https://api.spotify.com/v1/tracks/0ezwvY7TkCwDEkKR49084k,audio_features,spotify:track:0ezwvY7TkCwDEkKR49084k,0.551,['chicago rap']
55,8,56,Martin & Gina,Polo G,395534,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,14,9,1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,0.345,https://api.spotify.com/v1/audio-analysis/1VLtjHwRWOVJiE5Py7JxoQ,132833,1VLtjHwRWOVJiE5Py7JxoQ,0.0,1,0.165,-7.813,0,0.253,93.924,4,https://api.spotify.com/v1/tracks/1VLtjHwRWOVJiE5Py7JxoQ,audio_features,spotify:track:1VLtjHwRWOVJiE5Py7JxoQ,0.116,['chicago rap']
61,9,62,Black Hearted,Polo G,373401,https://open.spotify.com/track/25qk9xa71F1POdI4vj7rbi,14,10,25qk9xa71F1POdI4vj7rbi,0.506,0.563,0.0326,https://api.spotify.com/v1/audio-analysis/25qk9xa71F1POdI4vj7rbi,190509,25qk9xa71F1POdI4vj7rbi,0.0,1,0.0856,-7.664,0,0.411,168.146,4,https://api.spotify.com/v1/tracks/25qk9xa71F1POdI4vj7rbi,audio_features,spotify:track:25qk9xa71F1POdI4vj7rbi,0.153,['chicago rap']
115,10,116,Clueless (with Pop Smoke & Fivio Foreign),Polo G,266697,https://open.spotify.com/track/4CPcZHzSvIBM8AKhdHUwnL,14,11,4CPcZHzSvIBM8AKhdHUwnL,0.734,0.712,0.391,https://api.spotify.com/v1/audio-analysis/4CPcZHzSvIBM8AKhdHUwnL,165405,4CPcZHzSvIBM8AKhdHUwnL,0.0,6,0.103,-6.217,0,0.201,140.369,4,https://api.spotify.com/v1/tracks/4CPcZHzSvIBM8AKhdHUwnL,audio_features,spotify:track:4CPcZHzSvIBM8AKhdHUwnL,0.674,['chicago rap']
116,11,117,Toxic,Polo G,265800,https://open.spotify.com/track/3h3NKhcfHkr6GvEpC3FRI5,14,12,3h3NKhcfHkr6GvEpC3FRI5,0.685,0.515,0.548,https://api.spotify.com/v1/audio-analysis/3h3NKhcfHkr6GvEpC3FRI5,131968,3h3NKhcfHkr6GvEpC3FRI5,0.0,4,0.119,-8.666,0,0.291,162.071,4,https://api.spotify.com/v1/tracks/3h3NKhcfHkr6GvEpC3FRI5,audio_features,spotify:track:3h3NKhcfHkr6GvEpC3FRI5,0.299,['chicago rap']
136,12,137,21,Polo G,247169,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,14,13,3JKgcAa7r07ocVWcV8bS0H,0.783,0.479,0.149,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798,3JKgcAa7r07ocVWcV8bS0H,0.0,7,0.101,-10.646,1,0.541,176.027,4,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,audio_features,spotify:track:3JKgcAa7r07ocVWcV8bS0H,0.533,['chicago rap']
138,13,139,Painting Pictures,Polo G,245111,https://open.spotify.com/track/25uBGaikHi0DhMiGMfuXYE,14,14,25uBGaikHi0DhMiGMfuXYE,0.522,0.466,0.331,https://api.spotify.com/v1/audio-analysis/25uBGaikHi0DhMiGMfuXYE,137692,25uBGaikHi0DhMiGMfuXYE,0.0,3,0.11,-8.05,0,0.458,78.43,4,https://api.spotify.com/v1/tracks/25uBGaikHi0DhMiGMfuXYE,audio_features,spotify:track:25uBGaikHi0DhMiGMfuXYE,0.459,['chicago rap']
143,14,144,Party Lyfe (with DaBaby),Polo G,241429,https://open.spotify.com/track/38Z8SRBxln5pP7yWLqRYwC,14,15,38Z8SRBxln5pP7yWLqRYwC,0.861,0.487,0.0632,https://api.spotify.com/v1/audio-analysis/38Z8SRBxln5pP7yWLqRYwC,171232,38Z8SRBxln5pP7yWLqRYwC,0.0,6,0.144,-8.533,1,0.131,92.998,4,https://api.spotify.com/v1/tracks/38Z8SRBxln5pP7yWLqRYwC,audio_features,spotify:track:38Z8SRBxln5pP7yWLqRYwC,0.707,['chicago rap']
149,15,150,Epidemic,Polo G,237604,https://open.spotify.com/track/1SjBcdzWbs79UTCrH4qXJf,14,16,1SjBcdzWbs79UTCrH4qXJf,0.616,0.617,0.128,https://api.spotify.com/v1/audio-analysis/1SjBcdzWbs79UTCrH4qXJf,177273,1SjBcdzWbs79UTCrH4qXJf,0.0,1,0.177,-8.431,1,0.52,175.929,4,https://api.spotify.com/v1/tracks/1SjBcdzWbs79UTCrH4qXJf,audio_features,spotify:track:1SjBcdzWbs79UTCrH4qXJf,0.476,['chicago rap']
